Age,Job,Marital,Education,Default,Balance,Housing_Loan,Personal_Loan,Contact,Day_of_Week,Month,Campaign,Pdays,Previous,Poutcome,Subscribed
41,technician,married,secondary,no,-1085,yes,no,cellular,fri,aug,4,-1,0,nonexistent,yes
61,admin,married,secondary,no,-223,yes,no,telephone,thu,may,4,64,1,success,yes
75,blue-collar,divorced,secondary,no,856,no,no,telephone,tue,may,2,27,2,other,no
30,management,married,tertiary,no,-305,no,no,unknown,thu,jul,6,-1,0,nonexistent,no
30,admin,married,tertiary,no,-949,no,no,cellular,tue,aug,2,-1,0,nonexistent,no
26,retired,single,tertiary,no,1572,yes,no,cellular,tue,jun,1,-1,0,nonexistent,yes
47,admin,single,tertiary,no,2201,yes,yes,cellular,fri,nov,4,-1,0,nonexistent,no
39,technician,married,tertiary,yes,3047,yes,no,unknown,tue,may,4,-1,0,nonexistent,no
38,retired,single,primary,no,-1131,no,no,unknown,tue,may,3,-1,0,nonexistent,no
36,management,married,unknown,no,2210,no,no,unknown,wed,may,3,-1,0,nonexistent,no
38,management,married,secondary,no,2499,no,no,unknown,mon,may,3,-1,0,nonexistent,no
35,blue-collar,single,tertiary,no,2156,no,no,cellular,wed,sep,5,-1,0,nonexistent,no
33,blue-collar,married,secondary,no,-733,yes,no,cellular,mon,aug,2,-1,0,nonexistent,no
51,technician,single,tertiary,no,1418,yes,no,cellular,mon,apr,2,-1,0,nonexistent,no
58,management,married,primary,no,-3000,no,no,unknown,tue,aug,4,866,1,failure,no
39,unemployed,married,tertiary,no,6564,no,no,cellular,fri,jul,4,-1,0,nonexistent,no
46,management,married,secondary,no,2123,no,no,unknown,fri,jan,4,-1,0,nonexistent,no
34,blue-collar,married,primary,no,1986,no,no,cellular,thu,feb,4,-1,0,nonexistent,no
31,housemaid,single,secondary,no,3720,no,yes,cellular,fri,jan,3,-1,0,nonexistent,no
42,services,married,primary,no,1948,no,no,telephone,wed,jul,3,-1,0,nonexistent,no
50,housemaid,married,secondary,no,-1026,no,no,telephone,mon,may,1,384,4,other,yes
56,student,married,primary,no,-125,no,no,cellular,wed,may,7,697,1,failure,no
51,retired,single,secondary,no,1830,no,no,cellular,thu,mar,3,-1,0,nonexistent,yes
55,blue-collar,divorced,primary,no,1350,no,no,unknown,thu,feb,2,-1,0,nonexistent,no
42,services,divorced,secondary,no,-298,no,no,unknown,tue,jun,4,-1,0,nonexistent,no
41,entrepreneur,single,unknown,no,-24,yes,no,cellular,wed,apr,2,-1,0,nonexistent,no
19,technician,divorced,tertiary,no,-763,no,no,telephone,tue,jul,2,-1,0,nonexistent,yes
56,management,single,secondary,no,5557,no,no,cellular,thu,may,3,-1,0,nonexistent,no
44,blue-collar,married,primary,no,1300,no,no,cellular,wed,may,2,-1,0,nonexistent,no
47,unemployed,divorced,primary,no,10521,yes,no,cellular,mon,may,6,432,2,success,yes
34,management,single,tertiary,no,1254,no,no,unknown,mon,jul,2,768,2,success,yes
53,blue-collar,divorced,tertiary,no,2786,yes,no,cellular,tue,may,1,-1,0,nonexistent,no
51,blue-collar,married,secondary,no,-2494,yes,no,unknown,tue,feb,2,-1,0,nonexistent,no
39,services,married,secondary,no,-3000,no,no,unknown,mon,apr,5,-1,0,nonexistent,no
38,technician,married,secondary,no,2210,no,yes,cellular,fri,jun,4,-1,0,nonexistent,no
38,blue-collar,married,tertiary,yes,7449,yes,no,cellular,thu,mar,1,-1,0,nonexistent,yes
43,admin,single,secondary,no,-1192,no,no,telephone,mon,apr,4,-1,0,nonexistent,no
53,services,single,secondary,no,2477,no,yes,cellular,tue,aug,1,-1,0,nonexistent,no
40,management,married,secondary,no,2348,no,no,cellular,wed,apr,4,-1,0,nonexistent,no
52,technician,single,secondary,no,7325,no,no,cellular,mon,jul,4,-1,0,nonexistent,no
53,blue-collar,divorced,primary,no,3587,yes,no,unknown,tue,jun,4,-1,0,nonexistent,no
40,technician,divorced,primary,no,-1642,no,no,cellular,mon,oct,5,-1,0,nonexistent,no
28,student,married,unknown,no,1718,no,yes,cellular,wed,jan,2,281,2,failure,no
29,management,divorced,primary,no,1601,yes,no,unknown,tue,feb,3,-1,0,nonexistent,no
43,management,married,tertiary,no,8187,yes,no,cellular,wed,may,7,512,2,failure,no
35,technician,single,secondary,no,-898,yes,no,cellular,wed,jun,4,-1,0,nonexistent,no
39,admin,single,tertiary,no,-790,yes,no,cellular,mon,may,3,-1,0,nonexistent,no
37,technician,married,secondary,no,3236,yes,yes,cellular,wed,jul,3,-1,0,nonexistent,no
51,blue-collar,married,secondary,no,-235,no,yes,cellular,mon,oct,3,476,3,other,no
18,management,married,secondary,no,4477,yes,no,unknown,tue,may,1,-1,0,nonexistent,no
48,services,married,secondary,no,4455,yes,no,cellular,mon,nov,3,-1,0,nonexistent,no
28,student,married,tertiary,no,3425,yes,yes,cellular,mon,apr,5,-1,0,nonexistent,no
38,housemaid,married,unknown,no,3128,no,no,telephone,thu,jul,3,-1,0,nonexistent,no
47,blue-collar,married,secondary,no,4785,yes,no,unknown,tue,may,2,-1,0,nonexistent,no
48,student,single,secondary,no,3965,no,no,unknown,fri,nov,2,-1,0,nonexistent,no
37,blue-collar,married,primary,no,1191,yes,no,unknown,thu,nov,3,-1,0,nonexistent,no
50,housemaid,married,secondary,no,337,yes,no,unknown,mon,aug,3,-1,0,nonexistent,no
50,blue-collar,married,tertiary,no,3233,no,no,cellular,mon,nov,3,-1,0,nonexistent,no
47,blue-collar,married,secondary,no,2614,yes,no,cellular,mon,feb,1,427,3,failure,no
35,management,divorced,secondary,no,620,no,no,cellular,wed,apr,3,-1,0,nonexistent,yes
70,technician,divorced,tertiary,no,4791,yes,no,cellular,thu,jun,7,169,4,failure,no
53,blue-collar,single,secondary,no,4855,no,no,cellular,tue,feb,3,-1,0,nonexistent,no
34,blue-collar,single,primary,no,3945,no,no,cellular,tue,feb,2,-1,0,nonexistent,yes
33,management,married,secondary,no,1777,yes,no,telephone,fri,may,1,-1,0,nonexistent,no
28,services,single,secondary,no,-107,no,no,cellular,thu,nov,2,-1,0,nonexistent,no
34,admin,married,tertiary,no,77,no,no,cellular,tue,aug,5,837,6,failure,no
38,management,single,secondary,no,-3000,yes,no,unknown,wed,jul,3,321,3,success,no
47,blue-collar,married,secondary,no,-3000,no,no,cellular,wed,may,2,-1,0,nonexistent,no
50,admin,single,tertiary,yes,1963,yes,no,unknown,fri,may,2,795,1,success,no
45,blue-collar,married,secondary,no,-143,no,no,cellular,thu,may,2,-1,0,nonexistent,no
65,unemployed,married,tertiary,no,-1896,yes,no,unknown,tue,jul,1,-1,0,nonexistent,yes
30,technician,married,primary,no,-1640,no,no,cellular,thu,may,3,-1,0,nonexistent,no
48,housemaid,married,secondary,no,7033,yes,no,cellular,thu,may,2,218,5,failure,no
38,management,married,secondary,no,5619,yes,no,cellular,tue,nov,2,781,3,other,no
36,admin,married,tertiary,no,-267,yes,no,cellular,thu,may,4,-1,0,nonexistent,no
33,technician,married,primary,no,-3000,no,yes,cellular,wed,sep,1,-1,0,nonexistent,no
37,admin,married,tertiary,no,-1525,no,no,cellular,wed,jul,2,-1,0,nonexistent,no
49,blue-collar,married,primary,no,2296,yes,no,cellular,tue,nov,1,269,2,failure,no
36,blue-collar,married,tertiary,no,-1579,no,no,cellular,fri,aug,2,-1,0,nonexistent,no
38,retired,divorced,secondary,no,6824,no,no,cellular,fri,jul,5,868,1,failure,no
21,blue-collar,married,tertiary,no,3027,yes,no,cellular,wed,aug,6,-1,0,nonexistent,no
36,technician,divorced,secondary,no,1833,yes,no,cellular,wed,jul,5,342,3,failure,no
56,technician,married,secondary,no,2286,no,no,unknown,tue,nov,3,553,1,failure,no
31,unemployed,married,primary,no,-841,yes,no,unknown,wed,apr,8,-1,0,nonexistent,no
28,technician,divorced,secondary,no,2598,yes,no,unknown,fri,may,4,-1,0,nonexistent,no
36,retired,divorced,unknown,no,-691,yes,yes,cellular,mon,nov,4,-1,0,nonexistent,no
24,admin,married,secondary,no,6796,yes,no,telephone,mon,aug,2,-1,0,nonexistent,no
59,admin,married,secondary,no,2817,no,no,cellular,mon,jun,3,-1,0,nonexistent,no
34,management,married,primary,no,5316,yes,no,unknown,tue,jul,3,254,2,failure,no
44,entrepreneur,divorced,primary,no,2755,yes,no,cellular,wed,feb,2,-1,0,nonexistent,no
44,technician,divorced,tertiary,no,2080,yes,no,cellular,wed,jun,4,-1,0,nonexistent,no
56,technician,married,primary,no,348,no,no,unknown,fri,aug,4,-1,0,nonexistent,no
42,self-employed,married,secondary,no,1898,yes,no,cellular,thu,nov,2,-1,0,nonexistent,no
47,technician,single,secondary,no,1221,yes,no,cellular,mon,apr,2,-1,0,nonexistent,yes
26,admin,single,tertiary,no,1367,yes,no,unknown,thu,jul,5,-1,0,nonexistent,no
27,technician,divorced,tertiary,no,-666,yes,no,cellular,mon,may,2,502,6,failure,no
30,technician,married,primary,no,2013,no,no,unknown,thu,oct,2,-1,0,nonexistent,no
32,management,single,secondary,no,455,no,no,cellular,mon,may,4,-1,0,nonexistent,no
36,entrepreneur,married,secondary,no,-2736,no,no,cellular,mon,feb,3,-1,0,nonexistent,no
46,blue-collar,single,tertiary,no,1150,yes,no,unknown,tue,may,3,-1,0,nonexistent,no
40,self-employed,single,primary,no,-1096,no,no,unknown,fri,feb,2,-1,0,nonexistent,no
72,admin,married,secondary,no,2064,no,no,cellular,tue,may,1,-1,0,nonexistent,no
37,technician,divorced,secondary,no,2368,yes,no,cellular,fri,jul,2,-1,0,nonexistent,no
29,blue-collar,married,secondary,no,1762,no,no,cellular,fri,oct,3,695,3,failure,no
56,management,divorced,secondary,no,-1190,no,no,unknown,thu,jun,2,-1,0,nonexistent,no
39,unemployed,married,tertiary,no,-3000,yes,no,unknown,tue,jun,3,-1,0,nonexistent,no
38,blue-collar,married,secondary,no,402,yes,no,cellular,thu,aug,1,-1,0,nonexistent,no
24,admin,married,tertiary,no,2079,no,no,cellular,thu,jun,3,-1,0,nonexistent,no
58,technician,single,primary,no,3504,yes,no,unknown,mon,jun,7,-1,0,nonexistent,no
32,blue-collar,single,secondary,no,2950,no,yes,unknown,mon,may,4,-1,0,nonexistent,no
33,self-employed,married,tertiary,no,1743,no,no,cellular,wed,may,3,-1,0,nonexistent,no
27,blue-collar,married,secondary,no,3819,yes,no,cellular,tue,oct,3,-1,0,nonexistent,no
70,blue-collar,married,secondary,no,663,yes,yes,unknown,tue,jul,4,-1,0,nonexistent,no
42,retired,single,secondary,no,-3000,no,no,cellular,tue,jan,5,-1,0,nonexistent,no
44,student,married,tertiary,no,-3000,no,no,cellular,fri,may,5,-1,0,nonexistent,no
39,management,married,secondary,no,2726,yes,no,cellular,mon,jun,2,-1,0,nonexistent,yes
33,self-employed,single,tertiary,no,2162,no,yes,unknown,fri,may,3,-1,0,nonexistent,no
28,admin,married,secondary,no,683,no,no,cellular,wed,aug,4,-1,0,nonexistent,no
28,management,married,secondary,no,1981,yes,no,cellular,fri,may,2,-1,0,nonexistent,no
49,blue-collar,divorced,secondary,no,-1722,yes,no,unknown,mon,jul,2,-1,0,nonexistent,no
42,management,divorced,secondary,no,-1647,yes,no,cellular,tue,may,2,-1,0,nonexistent,no
64,technician,married,secondary,no,459,yes,no,cellular,thu,may,5,-1,0,nonexistent,yes
37,management,married,secondary,no,28,no,no,unknown,tue,aug,4,-1,0,nonexistent,no
47,management,married,secondary,no,2379,no,yes,unknown,mon,may,3,-1,0,nonexistent,no
53,admin,married,secondary,no,-2285,yes,no,cellular,wed,jul,5,-1,0,nonexistent,no
36,management,single,tertiary,no,-743,no,no,unknown,fri,jul,1,58,7,success,yes
40,technician,married,secondary,no,-534,yes,no,cellular,wed,nov,3,-1,0,nonexistent,no
55,management,married,tertiary,no,3373,no,no,cellular,wed,feb,2,-1,0,nonexistent,no
51,admin,married,secondary,no,-1834,no,no,cellular,tue,aug,4,-1,0,nonexistent,no
31,blue-collar,married,secondary,no,3035,no,no,unknown,fri,feb,3,-1,0,nonexistent,no
39,entrepreneur,single,tertiary,no,2640,no,no,cellular,tue,jun,5,-1,0,nonexistent,no
31,blue-collar,married,secondary,no,-3000,yes,no,cellular,thu,apr,3,-1,0,nonexistent,no
55,student,married,secondary,no,-576,yes,no,unknown,wed,aug,2,-1,0,nonexistent,no
34,management,divorced,unknown,no,1942,no,no,unknown,wed,may,2,-1,0,nonexistent,no
38,blue-collar,married,tertiary,no,2171,yes,yes,unknown,tue,may,3,-1,0,nonexistent,no
38,management,single,secondary,yes,752,no,no,unknown,mon,nov,2,-1,0,nonexistent,no
50,admin,single,primary,no,-1726,no,no,cellular,tue,nov,2,512,3,success,yes
29,management,married,secondary,no,-169,no,no,cellular,tue,jul,5,-1,0,nonexistent,no
41,management,married,secondary,no,2896,yes,no,telephone,mon,may,4,-1,0,nonexistent,no
74,management,single,secondary,no,3273,yes,no,unknown,mon,jul,4,-1,0,nonexistent,no
41,management,single,tertiary,no,-2073,yes,no,unknown,fri,jul,4,-1,0,nonexistent,no
49,management,married,primary,no,-175,yes,yes,cellular,mon,feb,5,-1,0,nonexistent,no
36,retired,married,secondary,no,729,yes,no,cellular,wed,may,4,-1,0,nonexistent,no
30,unemployed,married,tertiary,no,1341,yes,no,cellular,thu,may,4,-1,0,nonexistent,no
39,blue-collar,divorced,secondary,no,5875,yes,no,cellular,thu,may,4,-1,0,nonexistent,no
32,student,married,tertiary,no,-1388,yes,no,unknown,thu,may,3,-1,0,nonexistent,no
35,management,married,secondary,no,8471,yes,no,unknown,thu,feb,1,-1,0,nonexistent,no
27,blue-collar,married,secondary,no,2814,yes,no,cellular,wed,jun,4,-1,0,nonexistent,no
39,blue-collar,divorced,tertiary,no,738,no,no,cellular,fri,may,3,-1,0,nonexistent,no
28,management,single,unknown,no,524,yes,no,unknown,wed,jul,3,-1,0,nonexistent,no
27,technician,married,unknown,no,3981,yes,no,unknown,thu,jul,1,-1,0,nonexistent,no
46,admin,married,secondary,no,-3000,no,no,unknown,tue,nov,2,-1,0,nonexistent,no
42,management,divorced,secondary,no,-3000,yes,yes,cellular,mon,aug,2,-1,0,nonexistent,no
48,services,married,tertiary,no,-3000,no,no,unknown,mon,jul,1,-1,0,nonexistent,no
24,blue-collar,single,secondary,no,4627,no,no,cellular,tue,feb,3,543,2,failure,no
59,entrepreneur,single,secondary,no,2452,no,no,cellular,fri,jun,1,673,2,failure,no
45,technician,divorced,primary,no,-3000,yes,no,unknown,mon,nov,4,-1,0,nonexistent,no
28,management,married,tertiary,no,2928,no,no,unknown,fri,aug,3,393,4,success,yes
52,self-employed,married,primary,no,-1370,yes,no,cellular,thu,jan,5,-1,0,nonexistent,no
78,student,single,secondary,no,-362,no,no,cellular,tue,may,2,-1,0,nonexistent,no
33,entrepreneur,married,secondary,no,3594,yes,no,unknown,mon,jun,1,-1,0,nonexistent,no
44,self-employed,divorced,secondary,yes,195,no,no,unknown,fri,may,2,-1,0,nonexistent,no
36,management,married,primary,no,3548,yes,no,unknown,mon,apr,8,-1,0,nonexistent,no
21,technician,married,secondary,no,3692,no,no,cellular,mon,jul,5,-1,0,nonexistent,no
34,blue-collar,married,secondary,no,-704,yes,no,unknown,wed,may,2,-1,0,nonexistent,no
32,blue-collar,married,primary,no,154,no,no,unknown,wed,may,4,-1,0,nonexistent,no
54,services,married,secondary,no,-159,yes,no,cellular,wed,jun,2,-1,0,nonexistent,no
37,self-employed,married,secondary,no,1135,yes,no,cellular,tue,jul,2,-1,0,nonexistent,yes
43,management,divorced,unknown,no,-497,no,no,unknown,tue,may,2,-1,0,nonexistent,no
42,admin,single,secondary,no,4558,no,yes,cellular,tue,jul,5,-1,0,nonexistent,no
60,management,married,tertiary,no,769,yes,yes,cellular,mon,jul,2,-1,0,nonexistent,yes
45,blue-collar,married,tertiary,no,-1003,yes,no,unknown,thu,jul,4,21,1,other,no
40,blue-collar,married,secondary,no,3161,no,no,cellular,thu,feb,3,-1,0,nonexistent,no
53,blue-collar,married,tertiary,no,-2913,no,no,cellular,wed,aug,3,-1,0,nonexistent,no
30,technician,divorced,tertiary,no,-2226,yes,yes,unknown,thu,may,3,-1,0,nonexistent,no
43,management,married,secondary,no,2693,yes,no,cellular,thu,feb,3,-1,0,nonexistent,no
68,entrepreneur,married,primary,no,620,yes,no,unknown,wed,jul,3,-1,0,nonexistent,no
31,management,married,secondary,no,3,yes,yes,cellular,wed,may,3,-1,0,nonexistent,no
42,retired,single,secondary,no,2379,yes,no,cellular,fri,nov,2,-1,0,nonexistent,no
35,housemaid,married,primary,no,5395,yes,no,unknown,fri,jul,2,-1,0,nonexistent,no
47,retired,married,tertiary,no,5713,no,no,cellular,tue,apr,3,-1,0,nonexistent,yes
47,entrepreneur,single,secondary,no,2639,yes,no,cellular,fri,jun,4,-1,0,nonexistent,no
53,blue-collar,married,primary,no,2861,no,yes,cellular,wed,jul,5,-1,0,nonexistent,yes
34,retired,married,secondary,no,2047,yes,no,unknown,mon,may,2,-1,0,nonexistent,no
32,management,married,primary,no,5029,no,no,unknown,wed,aug,2,-1,0,nonexistent,no
53,unemployed,single,secondary,no,3707,no,yes,unknown,thu,dec,2,-1,0,nonexistent,no
20,student,single,tertiary,no,-1001,yes,no,cellular,thu,oct,1,237,2,success,yes
37,retired,married,secondary,no,2863,yes,no,telephone,fri,may,4,-1,0,nonexistent,no
20,management,married,secondary,no,-2521,no,no,unknown,mon,nov,3,114,3,success,no
47,technician,married,secondary,no,2919,yes,no,unknown,thu,may,2,-1,0,nonexistent,yes
44,management,married,tertiary,no,304,yes,no,cellular,fri,may,1,270,2,success,yes
52,technician,single,primary,no,310,no,no,cellular,mon,aug,3,-1,0,nonexistent,yes
50,entrepreneur,married,secondary,no,4150,no,no,cellular,fri,may,1,-1,0,nonexistent,no
30,management,single,secondary,no,-2628,no,no,cellular,thu,mar,7,-1,0,nonexistent,no
29,management,married,secondary,no,1176,yes,no,cellular,thu,nov,6,-1,0,nonexistent,no
30,services,married,secondary,no,-685,yes,no,unknown,mon,may,4,250,2,failure,no
35,management,married,tertiary,no,2112,no,no,cellular,mon,sep,5,-1,0,nonexistent,yes
47,services,single,tertiary,no,-3000,no,no,unknown,fri,jul,2,-1,0,nonexistent,no
49,blue-collar,divorced,tertiary,no,8132,no,no,telephone,thu,may,2,-1,0,nonexistent,no
37,management,single,tertiary,no,1440,yes,no,unknown,tue,apr,2,393,2,failure,no
29,self-employed,married,secondary,no,-2737,no,no,cellular,wed,may,2,-1,0,nonexistent,yes
61,admin,married,tertiary,no,1819,yes,no,cellular,mon,jan,3,-1,0,nonexistent,yes
41,blue-collar,single,secondary,no,-2289,no,yes,unknown,mon,jan,3,-1,0,nonexistent,no
51,unemployed,married,secondary,no,-520,yes,no,unknown,thu,feb,2,-1,0,nonexistent,no
31,blue-collar,single,secondary,no,426,yes,no,cellular,thu,jun,1,-1,0,nonexistent,no
18,services,single,secondary,no,-663,yes,no,unknown,tue,jun,1,-1,0,nonexistent,no
37,services,single,secondary,no,-114,no,no,cellular,mon,nov,4,478,3,failure,no
51,retired,single,secondary,no,1609,yes,no,cellular,thu,may,2,-1,0,nonexistent,no
38,blue-collar,married,secondary,no,-2021,yes,no,telephone,tue,aug,9,11,2,success,no
38,blue-collar,married,tertiary,no,2604,no,no,cellular,thu,may,4,-1,0,nonexistent,yes
39,management,married,secondary,no,66,no,no,cellular,thu,jul,2,-1,0,nonexistent,yes
40,entrepreneur,single,primary,no,-32,no,no,unknown,thu,jun,1,-1,0,nonexistent,no
34,management,single,primary,no,138,no,no,cellular,fri,may,3,-1,0,nonexistent,no
34,management,single,secondary,no,-2465,no,no,unknown,tue,may,1,-1,0,nonexistent,no
38,retired,single,tertiary,no,3827,no,no,cellular,fri,jan,5,-1,0,nonexistent,no
36,unemployed,single,secondary,no,3560,yes,no,cellular,thu,may,2,-1,0,nonexistent,no
52,blue-collar,married,tertiary,no,2785,no,yes,cellular,wed,may,2,311,1,failure,no
43,management,married,secondary,no,1241,yes,no,cellular,mon,nov,5,-1,0,nonexistent,yes
36,blue-collar,single,tertiary,no,-3000,no,yes,telephone,tue,apr,4,-1,0,nonexistent,no
46,technician,married,secondary,no,99,no,no,cellular,wed,aug,5,-1,0,nonexistent,no
89,blue-collar,single,primary,no,-827,yes,no,cellular,tue,may,3,-1,0,nonexistent,no
27,services,married,tertiary,no,304,no,no,unknown,mon,aug,5,-1,0,nonexistent,no
45,blue-collar,divorced,secondary,no,4007,no,no,cellular,tue,aug,3,-1,0,nonexistent,yes
34,retired,single,secondary,no,973,no,yes,unknown,wed,aug,3,-1,0,nonexistent,no
27,unemployed,single,tertiary,no,-437,no,no,unknown,fri,jun,6,876,2,other,no
60,management,married,primary,no,-2112,yes,no,cellular,wed,apr,2,-1,0,nonexistent,no
39,blue-collar,married,secondary,no,2307,no,no,cellular,fri,jul,3,-1,0,nonexistent,no
33,admin,married,tertiary,no,4172,yes,yes,cellular,wed,feb,3,-1,0,nonexistent,no
33,services,married,tertiary,no,1967,no,no,cellular,mon,aug,4,-1,0,nonexistent,yes
36,management,married,unknown,no,-1800,yes,yes,unknown,fri,may,7,-1,0,nonexistent,no
61,entrepreneur,divorced,primary,no,206,yes,no,cellular,wed,may,2,-1,0,nonexistent,no
30,services,married,tertiary,no,-509,yes,no,cellular,thu,may,5,-1,0,nonexistent,no
36,admin,divorced,secondary,no,-62,no,no,cellular,fri,jun,2,-1,0,nonexistent,no
35,technician,single,tertiary,no,-1065,yes,no,cellular,fri,may,3,-1,0,nonexistent,no
41,services,married,tertiary,no,5621,yes,no,cellular,thu,aug,2,-1,0,nonexistent,no
37,technician,divorced,secondary,yes,-3000,no,no,unknown,wed,nov,3,33,1,other,no
37,unknown,married,unknown,no,1485,no,yes,cellular,fri,may,3,-1,0,nonexistent,yes
32,admin,single,secondary,no,1338,no,no,unknown,tue,may,3,-1,0,nonexistent,no
51,retired,married,secondary,no,1654,yes,no,unknown,wed,nov,4,-1,0,nonexistent,no
41,management,single,tertiary,no,-1423,no,no,cellular,fri,may,1,476,1,failure,no
56,management,married,tertiary,no,391,yes,no,unknown,tue,oct,3,-1,0,nonexistent,no
56,technician,married,secondary,no,-1475,yes,no,cellular,mon,aug,4,-1,0,nonexistent,no
33,unemployed,married,secondary,no,147,no,no,cellular,fri,jul,3,-1,0,nonexistent,no
37,admin,single,tertiary,no,1613,no,no,cellular,tue,oct,4,168,4,failure,no
37,management,married,primary,no,-1528,no,no,unknown,thu,apr,2,-1,0,nonexistent,no
30,technician,married,secondary,no,-1432,yes,no,cellular,mon,apr,3,-1,0,nonexistent,no
32,management,single,secondary,no,2419,no,yes,cellular,fri,may,1,-1,0,nonexistent,no
58,services,married,primary,no,1342,yes,no,unknown,mon,apr,1,-1,0,nonexistent,no
37,management,married,secondary,no,6010,yes,no,telephone,fri,jul,7,314,2,other,no
40,blue-collar,married,primary,no,-2093,yes,no,unknown,wed,aug,7,-1,0,nonexistent,no
34,retired,married,tertiary,no,-105,yes,no,cellular,fri,may,2,-1,0,nonexistent,no
52,management,divorced,tertiary,no,-959,yes,no,cellular,tue,jun,1,885,1,failure,no
41,blue-collar,married,secondary,no,5172,no,no,telephone,mon,may,2,-1,0,nonexistent,no
34,admin,married,secondary,no,1811,yes,no,cellular,thu,apr,5,-1,0,nonexistent,no
40,student,single,primary,no,3147,yes,no,unknown,mon,nov,4,-1,0,nonexistent,no
30,admin,single,secondary,no,5883,yes,no,unknown,wed,mar,7,-1,0,nonexistent,no
25,technician,divorced,tertiary,no,-2868,yes,yes,unknown,fri,may,3,-1,0,nonexistent,no
31,admin,single,primary,no,7928,no,yes,cellular,wed,jun,2,-1,0,nonexistent,yes
32,housemaid,single,primary,no,2479,yes,yes,unknown,tue,nov,2,-1,0,nonexistent,no
27,self-employed,married,secondary,no,6409,no,no,cellular,thu,may,3,-1,0,nonexistent,no
44,management,married,secondary,no,1242,no,no,unknown,wed,aug,4,-1,0,nonexistent,no
32,unknown,married,secondary,no,984,no,no,cellular,mon,may,3,-1,0,nonexistent,no
42,admin,single,tertiary,no,-3000,yes,yes,cellular,mon,aug,3,-1,0,nonexistent,no
54,technician,married,tertiary,no,2101,yes,no,cellular,thu,jul,1,167,4,failure,no
43,management,single,secondary,no,453,no,no,cellular,tue,sep,2,772,2,failure,no
42,management,married,tertiary,no,-1115,yes,yes,unknown,wed,jan,4,-1,0,nonexistent,no
40,management,married,tertiary,no,-1236,yes,no,cellular,wed,apr,2,-1,0,nonexistent,no
56,blue-collar,divorced,secondary,no,-140,yes,yes,telephone,tue,jul,2,-1,0,nonexistent,no
28,services,married,secondary,no,1219,no,no,cellular,mon,jun,3,775,2,failure,no
35,retired,married,secondary,no,-300,no,no,unknown,mon,aug,3,-1,0,nonexistent,no
25,services,single,secondary,no,4466,yes,no,cellular,thu,jul,2,-1,0,nonexistent,no
38,management,single,tertiary,no,7715,no,no,cellular,wed,jun,1,-1,0,nonexistent,yes
45,management,married,secondary,no,912,yes,yes,cellular,fri,jul,3,-1,0,nonexistent,no
36,technician,married,secondary,no,-3000,yes,no,telephone,wed,nov,2,468,4,failure,no
34,unknown,single,tertiary,no,701,no,no,cellular,mon,jul,4,-1,0,nonexistent,no
41,management,married,primary,no,754,yes,no,cellular,tue,nov,3,-1,0,nonexistent,no
23,blue-collar,married,secondary,no,-220,yes,no,cellular,tue,aug,4,-1,0,nonexistent,no
37,blue-collar,single,secondary,no,4463,yes,no,unknown,thu,jan,6,-1,0,nonexistent,no
20,technician,single,secondary,no,-1648,yes,no,cellular,fri,nov,5,-1,0,nonexistent,no
46,management,married,tertiary,no,1662,no,no,cellular,thu,jun,2,-1,0,nonexistent,no
43,retired,married,tertiary,no,-3000,no,no,cellular,tue,jul,3,-1,0,nonexistent,no
23,management,single,secondary,no,5179,yes,no,cellular,wed,may,2,-1,0,nonexistent,no
48,admin,married,primary,no,771,no,no,cellular,wed,mar,2,-1,0,nonexistent,yes
31,blue-collar,single,secondary,no,-2159,yes,no,unknown,mon,nov,6,-1,0,nonexistent,no
32,technician,married,secondary,no,6186,yes,no,telephone,mon,may,2,-1,0,nonexistent,no
31,technician,married,primary,no,7402,no,yes,cellular,mon,jun,3,-1,0,nonexistent,no
26,self-employed,single,secondary,no,-355,no,no,cellular,mon,may,3,-1,0,nonexistent,no
73,technician,single,secondary,no,4168,yes,no,cellular,mon,may,3,-1,0,nonexistent,no
50,unknown,married,secondary,no,818,no,no,cellular,fri,nov,2,-1,0,nonexistent,no
34,services,single,secondary,no,-1668,yes,no,cellular,tue,may,2,-1,0,nonexistent,no
32,management,married,unknown,no,578,no,no,cellular,fri,nov,2,-1,0,nonexistent,no
44,services,married,tertiary,no,14,no,yes,cellular,tue,aug,2,-1,0,nonexistent,yes
40,housemaid,single,unknown,no,-497,yes,no,telephone,tue,may,3,-1,0,nonexistent,no
34,technician,single,primary,no,-327,no,no,cellular,wed,jul,5,-1,0,nonexistent,yes
43,technician,married,tertiary,no,4876,no,no,cellular,fri,jun,3,-1,0,nonexistent,no
47,blue-collar,single,primary,no,4052,yes,no,cellular,fri,may,1,-1,0,nonexistent,no
33,admin,married,secondary,no,6773,no,no,cellular,thu,aug,4,-1,0,nonexistent,no
36,blue-collar,married,secondary,no,-3000,no,no,unknown,wed,jun,3,-1,0,nonexistent,no
35,blue-collar,married,tertiary,yes,-1733,yes,no,cellular,wed,nov,2,-1,0,nonexistent,no
38,technician,single,tertiary,no,-3000,no,no,cellular,mon,aug,2,-1,0,nonexistent,no
32,self-employed,married,secondary,no,-596,no,no,cellular,wed,apr,2,-1,0,nonexistent,yes
28,services,married,secondary,no,-43,no,yes,cellular,mon,aug,4,184,4,failure,no
74,self-employed,single,primary,no,-3000,no,no,unknown,mon,may,4,713,4,failure,no
